才能名,link,発揮効果,発揮条件,発揮対象,発揮確率
蒼然暮色,https://dabimas.jp/kouryaku/abilities/7214757366.html,・効果1（条件1を満たすと発揮） 常時、スタミナが増える ・効果2（条件1、2を満たすと発揮） ゴールまで300m以内で、 やや長い時間、スタミナが増え、 競り合いで疲れづらくなる,・条件1 馬場状態が良 2000～3200m 中山競馬場、阪神競馬場、 京都競馬場 ・条件2 5番人気以上の時,・効果1 自分 ・効果2 自分,100%
蒼伝烈駆,https://dabimas.jp/kouryaku/abilities/2766141533.html,・スタートから50m以降で、 やや長い時間、脚が速くなり、 持久力が上がる,・1800、2200、2400、2410m ・東京競馬場、阪神競馬場、 京都競馬場、メイダン競馬場、 シャティン競馬場 ・騎乗指示：逃げ、先行,・自分,70%〜100%
走馬灯,https://dabimas.jp/kouryaku/abilities/5712364098.html,・ゴールまで150m以内で、 やや長い時間、脚が速くなる,・天候が晴、曇 ・1200～1800m ・中山競馬場、阪神競馬場、 中京競馬場 ・騎乗指示：追込,・自分,90%
草明鳴砂,https://dabimas.jp/kouryaku/abilities/8614531218.html,・効果1（条件1を満たすと発揮） 常時、スタミナが少し増える ・効果2（条件1、2を満たすと発揮） ゴールまで350m以内で、 やや長い時間、脚が速くなる,・条件1 2000～2400m 東京競馬場、大井競馬場 コンディションが好調以上 ・条件2 騎乗指示：逃げ、先行,・効果1 自分 ・効果2 自分,100%
爽籟,https://dabimas.jp/kouryaku/abilities/1438365213.html,・スタート時に、 短い時間、脚が速くなる,・中山競馬場、京都競馬場 ・芝レース ・5番人気以上の時 ・騎乗指示：逃げ,・自分,50%〜100%
底力,https://dabimas.jp/kouryaku/abilities/5315458267.html,・ゴールまで100m以内で、やや長い時間 脚が少し速くなる,・皐月賞、日本ダービー、菊花賞、 桜花賞、オークス、秋華賞 ・先頭の騎乗指示：逃げ ・先頭との距離が2馬身差以内,・自分,100%
太陰の祝福,https://dabimas.jp/kouryaku/abilities/3452781076.html,・効果1 常時、脚が少し速くなり、 スタミナが少し増え、 根性がつき、気性が穏やかになる ・効果2 最終コーナーで、 やや長い時間、脚が少し速くなり、 競り合いで疲れづらくなる ・効果3（効果2終了時） 短い時間、脚が非常に速くなる,・天皇賞(秋)、ジャパンカップ、 有馬記念、天皇賞(春)、 凱旋門賞、ドバイシーマクラシック、 香港ヴァーズ,・効果1 自分 ・効果2 自分 ・効果3 自分,85%
大海,https://dabimas.jp/kouryaku/abilities/6569031462.html,・ゴールまで250m以内で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・1800～2200m ・阪神競馬場、福島競馬場、 函館競馬場、札幌競馬場 ・騎乗指示：差し,・自分,100%
胎動,https://dabimas.jp/kouryaku/abilities/4614537207.html,・スタートから50m以降で、 短い時間、脚が少し速くなり、 スタミナが少し増える,・1200～2000m ・東京競馬場、阪神競馬場、 中京競馬場 ・騎乗指示：逃げ、先行,・自分,100%
太陽の叡智,https://dabimas.jp/kouryaku/abilities/1516603246.html,・効果1 常時、脚が少し速くなり、 スタミナが少し増え、 根性がつき、気性が穏やかになる ・効果2 最終コーナーで、 やや長い時間、脚が少し速くなり、 競り合いで疲れづらくなる ・効果3（効果2終了時） 短い時間、脚が非常に速くなる,・天皇賞(秋)、ジャパンカップ、 有馬記念、天皇賞(春)、 凱旋門賞、ドバイシーマクラシック、 香港ヴァーズ,・効果1 自分 ・効果2 自分 ・効果3 自分,85%
大輪★絶華,https://dabimas.jp/kouryaku/abilities/5612364477.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 スタミナが少し増える ・効果2（条件1、2を満たすと発揮） ゴールまで300m以内で、 やや長い時間、脚が速くなる,・条件1 1200、2000m 中山競馬場、東京競馬場、 大井競馬場 ・条件2 5番人気以上の時 騎乗指示：追込,・効果1 自分 ・効果2 自分,100%
昂る鼓動,https://dabimas.jp/kouryaku/abilities/2461566213.html,・ゴールまで250m以内で、 やや長い時間、脚が速くなり、 スタミナが少し増える,・2400、3000、3200m ・東京競馬場、京都競馬場 ・騎乗指示：差し,・自分,100%
多幸,https://dabimas.jp/kouryaku/abilities/2264175316.html,・常時、脚が少し速くなり、 根性がつく,・1600～2000m ・東京競馬場、阪神競馬場,・自分,100%
襷,https://dabimas.jp/kouryaku/abilities/2763140573.html,・常時、脚が速くなり、 根性がつく,・マイルチャンピオンシップ、 香港ヴァーズ,・自分,100%
黄昏,https://dabimas.jp/kouryaku/abilities/3407565213.html,・効果1（条件1を満たすと発揮） 常時、根性がつき、 気性が穏やかになる ・効果2（条件1、2を満たすと発揮） ゴールまで250m以内で、 やや長い時間、脚が速くなる,・条件1 天皇賞(秋)、ジャパンカップ 年齢が4歳以上 ・条件2 騎乗指示：先行,・効果1 自分 ・効果2 自分,100%
燵人,https://dabimas.jp/kouryaku/abilities/8365243193.html,・常時、スタミナが増える,・決戦！懐かしの名馬！？上級のみ,・自分,100%
七夕飾り★,https://dabimas.jp/kouryaku/abilities/0264195316.html,・常時、脚が速くなる,・七夕賞,・自分,100%
七夕恋物語,https://dabimas.jp/kouryaku/abilities/3452901496.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 気性が穏やかになる ・効果2（条件1、2を満たすと発揮） ゴールまで350m以内で、 短い時間、脚が非常に速くなり、 競り合いで疲れづらくなる,・条件1 天候が晴、曇 1600、1800、2410m 東京競馬場、メイダン競馬場 ・条件2 騎乗指示：逃げ,・効果1 自分 ・効果2 自分,100%
七夕之星合,https://dabimas.jp/kouryaku/abilities/3452831476.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 根性がつき、気性が穏やかになる ・効果2（条件1、2を満たすと発揮） 最後の直線で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・条件1 有馬記念、天皇賞(秋)、 ジャパンカップ ・条件2 騎乗指示：逃げ,・効果1 自分 ・効果2 自分,100%
玉響,https://dabimas.jp/kouryaku/abilities/4218690523.html,・常時、スタミナが少し増える,・2000、2500、3000m ・芝レース ・コンディションが絶好調,・自分,30%〜100%
胆気,https://dabimas.jp/kouryaku/abilities/6568731402.html,・常時、スタミナが非常に増える,・オープンレース未満 ・人気がない,・自分,100%
短駆,https://dabimas.jp/kouryaku/abilities/3452771176.html,・常時、脚が少し速くなる,・スプリンターズステークス、高松宮記念,・自分,100%
蒲公英,https://dabimas.jp/kouryaku/abilities/9065243177.html,・ゴールまで200m以内で、 やや長い時間、脚が速くなる,・天候が晴、曇 ・2200～3200m ・中山競馬場、京都競馬場 ・騎乗指示：先行,・自分,100%
胆力,https://dabimas.jp/kouryaku/abilities/3452171686.html,・常時、脚が非常に速くなる,・オープンレース未満 ・人気がない,・自分,100%
大吉小吉★,https://dabimas.jp/kouryaku/abilities/3452821576.html,・効果1 常時、脚が少し速くなる ・効果2 最後の直線で、 短い時間、脚が速くなる ・効果3 最後の直線で、 短い時間、以下のどれかを発揮する 脚が速くなる スタミナが増える 競り合いで疲れづらくなる ※効果2～3は重複して発揮します,・1600～2400m ・東京競馬場、阪神競馬場、 京都競馬場 ・コンディションが好調以上,・効果1 自分 ・効果2 自分 ・効果3 自分,100%
大舞台,https://dabimas.jp/kouryaku/abilities/6351124280.html,・常時、脚が少し速くなる,・馬場状態が良 ・皐月賞、日本ダービー、 菊花賞、ジャパンカップ、 有馬記念,・自分,100%
大舞台,https://dabimas.jp/kouryaku/abilities/7182546833.html,・常時、脚が少し速くなる,・馬場状態が良 ・皐月賞、日本ダービー、 菊花賞、ジャパンカップ、 有馬記念,・自分,100%
Direct,https://dabimas.jp/kouryaku/abilities/8468538612.html,・ゴールまで400m以内で、やや長い時間 脚が速くなる,・1600～1800m ・騎乗指示：先行,・自分,100%
打開策,https://dabimas.jp/kouryaku/abilities/6124423616.html,・効果1（条件1を満たすと発揮） 常時、スタミナが少し増え、 根性がつく ・効果2（条件1、2を満たすと発揮） ゴールまで550m以内で、 やや長い時間、脚が速くなり、 スタミナが少し増える ・効果3（条件1、2を満たすと発揮） 特殊演出が発生する,・条件1 2000、3000、3200m 中山競馬場、京都競馬場 コンディションが好調以上 ・条件2 騎乗指示：差し,・効果1 自分 ・効果2 自分 ・効果3 自分,100%
Dusk,https://dabimas.jp/kouryaku/abilities/5412364884.html,・常時、スタミナが少し増え、 根性がつく,・1800～2410m ・ロンシャン競馬場、メイダン競馬場、 シャティン競馬場,・自分,50%〜100%
脱出,https://dabimas.jp/kouryaku/abilities/7182546734.html,・常時、スタミナが少し増える,・中山競馬場、東京競馬場、 阪神競馬場、京都競馬場 ・コンディションが好調以上,・自分,100%
伊達眼鏡,https://dabimas.jp/kouryaku/abilities/6214657368.html,・常時、脚が少し速くなり、 スタミナが少し増え、 根性がつき、気性が穏やかになる,・凱旋門賞,・自分,100%
伊達眼鏡,https://dabimas.jp/kouryaku/abilities/7264116370.html,・常時、脚が少し速くなり、 スタミナが少し増え、 根性がつき、気性が穏やかになる,・凱旋門賞,・自分,100%
打破,https://dabimas.jp/kouryaku/abilities/8315498260.html,・ゴールまで300m以内で、短い時間 脚が少し速くなる,・天候が雨 ・馬場状態が重、不良 ・中山競馬場、東京競馬場 ・騎乗指示：追込,・自分,40%〜70%
打火打火打撃,https://dabimas.jp/kouryaku/abilities/6132441600.html,・ゴールまで200m以内で、 短い時間、脚が速くなり、 競り合いで疲れづらくなる,・天候が晴 ・馬場状態が良 ・1200～1600m,・自分,80%
断己相殺拳,https://dabimas.jp/kouryaku/abilities/0477066213.html,・最後の直線に入る時、短い時間 脚が速くなる,・2400～3200m ・東京競馬場、京都競馬場 ・芝レース ・騎乗指示：逃げ、先行 ・2～5番手にいる時,・自分,100%
断断乎,https://dabimas.jp/kouryaku/abilities/1264185361.html,・最終コーナー通過から、 長い時間経過後、 短い時間、脚が速くなる,・1800、2200、2500、3000m ・中山競馬場、京都競馬場、 メイダン競馬場 ・芝レース ・騎乗指示：差し,・自分,100%
邪悪心眼,https://dabimas.jp/kouryaku/abilities/3211064620.html,・常時、気性が荒くなるが、 脚が速くなる,・馬場状態が良、稍重 ・1000～1600m,・自分,100%
中間管理録‥！,https://dabimas.jp/kouryaku/abilities/4218629503.html,・スタート時に、騎手の騎乗が上手くなる,・騎手が荻野極騎手、森裕騎手、 鮫島克騎手、加藤騎手,・自分,80%〜100%
注目の踊り子,https://dabimas.jp/kouryaku/abilities/3462961516.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなる ・効果2（条件1、2を満たすと発揮） スタート時に、 やや長い時間、脚が少し速くなる ・効果3（条件1、2を満たすと発揮） スタート時に、 短い時間、以下のどれかを発揮する スタミナが少し増える 何も起こらない,・条件1 1600、1800、2500m 一定以上の人気度がある ・条件2 騎乗指示：逃げ、先行,・効果1 自分 ・効果2 自分 ・効果3 自分,100%
忠勇無双,https://dabimas.jp/kouryaku/abilities/7315477264.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 根性がつく ・効果2（条件1、2を満たすと発揮） ゴールまで225m以内で、 やや長い時間、脚が速くなる,・条件1 馬場状態が良、稍重 1600～2000m 中山競馬場、東京競馬場 ・条件2 騎乗指示：差し,・効果1 自分 ・効果2 自分,100%
